@index@position@year@title@artist@decade
0@0@1@1997@Candle In The Wind 1997@Elton John@1990
1@1@2@1997@Foolish Games / You Were Meant For Me@Jewel@1990
2@2@3@1997@I'll Be Missing You@Puff Daddy and Faith Evans@1990
3@3@4@1997@Un-Break My Heart@Toni Braxton@1990
4@4@5@1997@Can't Nobody Hold Me Down@Puff Daddy@1990
5@5@6@1997@I Believe I Can Fly@R. Kelly@1990
6@6@7@1997@Don't Let Go (Love)@En Vogue@1990
7@7@8@1997@Return Of The Mack@Mark Morrison@1990
8@8@9@1997@How Do I Live@LeAnn Rimes@1990
9@9@10@1997@Wannabe@Spice Girls@1990
10@10@11@1997@Quit Playing Games (With My Heart)@Backstreet Boys@1990
11@11@12@1997@MMMBop@Hanson@1990
12@12@13@1997@For You I Will@Monica@1990
13@13@14@1997@You Make Me Wanna...@Usher@1990
14@14@15@1997@Bitch@Meredith Brooks@1990
15@15@16@1997@Nobody@Keith Sweat@1990
16@16@17@1997@Semi-Charmed Life@Third Eye Blind@1990
17@17@18@1997@Barely Breathing@Duncan Sheik@1990
18@18@19@1997@Hard To Say I'm Sorry@Az Yet feat. Peter Cetera@1990
19@19@20@1997@Mo Money Mo Problems@Notorious B.I.G.@1990
20@20@21@1997@The Freshmen@Verve Pipe@1990
21@21@22@1997@I Want You@Savage Garden@1990
22@22@23@1997@No Diggity@BLACKstreet feat. Dr. Dre@1990
23@23@24@1997@I Belong To You (Every Time I See Your Face)@Rome@1990
24@24@25@1997@Hypnotize@Notorious B.I.G.@1990
25@25@26@1997@Every Time I Close My Eyes@Babyface@1990
26@26@27@1997@In My Bed@Dru Hill@1990
27@27@28@1997@Say You'll Be There@Spice Girls@1990
28@28@29@1997@Do You Know (What It Takes)@Robyn@1990
29@29@30@1997@4 Seasons Of Loneliness@Boyz II Men@1990
30@30@31@1997@G.H.E.T.T.O.U.T.@Changing Faces@1990
31@31@32@1997@Honey@Mariah Carey@1990
32@32@33@1997@I Believe In You And Me@Whitney Houston@1990
33@33@34@1997@Da' Dip@Freaknasty@1990
34@34@35@1997@2 Become 1@Spice Girls@1990
35@35@36@1997@All For You@Sister Hazel@1990
36@36@37@1997@Cupid@112@1990
37@37@38@1997@Where Have All The Cowboys Gone?@Paula Cole@1990
38@38@39@1997@Sunny Came Home@Shawn Colvin@1990
39@39@40@1997@It's Your Love@Tim McGraw and Faith Hill@1990
40@40@41@1997@Ooh Aah... Just A Little Bit@Gina G@1990
41@41@42@1997@Mouth@Merril Bainbridge@1990
42@42@43@1997@All Cried Out@Allure feat. 112@1990
43@43@44@1997@I'm Still In Love With You@New Edition@1990
44@44@45@1997@Invisible Man@98 Degrees@1990
45@45@46@1997@Not Tonight@Lil' Kim@1990
46@46@47@1997@Look Into My Eyes@Bone Thugs-N-Harmony@1990
47@47@48@1997@Get It Together@702@1990
48@48@49@1997@All By Myself@Celine Dion@1990
49@49@50@1997@It's All Coming Back To Me Now@Celine Dion@1990
50@50@51@1997@My Love Is The Shhh!@Somethin' For The People@1990
51@51@52@1997@Where Do You Go@No Mercy@1990
52@52@53@1997@I Finally Found Someone@Barbra Streisand and Bryan Adams@1990
53@53@54@1997@I'll Be@Foxy Brown feat. Jay-Z@1990
54@54@55@1997@If It Makes You Happy@Sheryl Crow@1990
55@55@56@1997@Never Make A Promise@Dru Hill@1990
56@56@57@1997@When You Love A Woman@Journey@1990
57@57@58@1997@Up Jumps Da Boogie@Magoo And Timbaland@1990
58@58@59@1997@I Don't Want To / I Love Me Some Him@Toni Braxton@1990
59@59@60@1997@Everyday Is A Winding Road@Sheryl Crow@1990
60@60@61@1997@Cold Rock A Party@Mc Lyte@1990
61@61@62@1997@Pony@Ginuwine@1990
62@62@63@1997@Building A Mystery@Sarah McLachlan@1990
63@63@64@1997@I Love You Always Forever@Donna Lewis@1990
64@64@65@1997@Your Woman@White Town@1990
65@65@66@1997@C U When U Get There@Coolio@1990
66@66@67@1997@Change The World@Eric Clapton@1990
67@67@68@1997@My Baby Daddy@B-Rock and The Bizz@1990
68@68@69@1997@Tubthumping@Chumbawamba@1990
69@69@70@1997@Gotham City@R. Kelly@1990
70@70@71@1997@Last Night@Az Yet@1990
71@71@72@1997@ESPN Presents The Jock Jam@Various Artists@1990
72@72@73@1997@Big Daddy@Heavy D@1990
73@73@74@1997@What About Us@Total@1990
74@74@75@1997@Smile@Scarface@1990
75@75@76@1997@What's On Tonight@Montell Jordan@1990
76@76@77@1997@Secret Garden@Bruce Springsteen@1990
77@77@78@1997@The One I Gave My Heart To@Aaliyah@1990
78@78@79@1997@Fly Like An Eagle@Seal@1990
79@79@80@1997@No Time@Lil' Kim@1990
80@80@81@1997@Naked Eye@Luscious Jackson@1990
81@81@82@1997@Macarena (Bayside Boys Mix)@Los Del Rio@1990
82@82@83@1997@On & On@Erykah Badu@1990
83@83@84@1997@Don't Wanna Be A Player@Joe@1990
84@84@85@1997@I Shot The Sheriff@Warren G@1990
85@85@86@1997@You Should Be Mine (Don't Waste Your Time)@Brian McKnight feat. Mase@1990
86@86@87@1997@Don't Cry For Me Argentina@Madonna@1990
87@87@88@1997@Someone@SWV@1990
88@88@89@1997@Go The Distance@Michael Bolton@1990
89@89@90@1997@One More Time@Real McCoy@1990
90@90@91@1997@Butta Love@Next@1990
91@91@92@1997@Coco Jamboo@Mr. President@1990
92@92@93@1997@Twisted@Keith Sweat@1990
93@93@94@1997@Barbie Girl@Aqua@1990
94@94@95@1997@When You're Gone / Free To Decide@Cranberries@1990
95@95@96@1997@Let Me Clear My Throat@DJ Kool@1990
96@96@97@1997@I Like It@Blackout Allstars@1990
97@97@98@1997@You're Makin' Me High / Let It Flow@Toni Braxton@1990
98@98@99@1997@You Must Love Me@Madonna@1990
99@99@100@1997@Let It Go@Ray J@1990
